,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_2_Clustering,Tribe_0_Trades,Tribe_1_Trades,Tribe_2_Trades
46,29,0.0,15.58695652173913,12,12,5,10.530196827669393,14.813976680582007,4.8734897694020685,0.0113658627292725,0.0044444444444444444,0.0,12.5,15.25,14.815217391304348
47,28,0.0,15.25531914893617,12,11,5,9.330196827669393,13.631230121499183,4.3734897694020685,0.009491234462011788,0.003448275862068965,0.0,12.26595744680851,14.957446808510639,14.5
48,27,0.0,14.9375,12,10,5,8.130196827669392,12.618376713582062,3.873489769402068,0.008607146833017252,0.0023809523809523807,0.0,12.041666666666666,14.65625,14.197916666666666
49,25,0.0,14.63265306122449,11,10,4,7.029662416839036,11.618376713582064,3.4522942707791264,0.004026793246633725,0.002564102564102564,0.0,11.795918367346939,14.357142857142858,13.908163265306122
50,23,0.0,14.34,9,10,4,6.023941536144265,10.618376713582064,3.052294270779127,0.005992003247112917,0.002777777777777778,0.0,11.57,14.07,13.63
51,19,0.0,14.058823529411764,6,9,4,5.276453336381967,9.708228187807695,2.6522942707791266,0.0,0.0,0.0,11.352941176470589,13.803921568627452,13.362745098039216
52,18,0.0,13.788461538461538,5,9,4,4.732787477937842,8.808228187807694,2.2522942707791263,0.0,0.0017543859649122807,0.0,11.134615384615385,13.538461538461538,13.10576923076923
53,16,0.0,13.528301886792454,5,7,4,4.232787477937842,8.088321892992807,1.8522942707791266,0.0,0.00196078431372549,0.0,10.924528301886792,13.283018867924529,12.858490566037736
54,12,0.0,13.277777777777779,4,6,2,3.8255548768097505,7.40260102541613,1.551033625478424,0.0,0.002564102564102564,0.0,10.722222222222221,13.037037037037036,12.62037037037037
55,12,0.0,13.036363636363637,4,6,2,3.42555487680975,6.802601025416131,1.3510336254784239,0.0,0.002564102564102564,0.0,10.527272727272727,12.818181818181818,12.39090909090909
