,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_2_Clustering,Tribe_0_Trades,Tribe_1_Trades,Tribe_2_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator
3,273,23.913308913308914,707.5,724.0,124,72,77,2625.487351882885,566.4336514626882,1131.7636750228592,41.333333333333336,12.0,7.0,33.25,27.733333333333334,25.983333333333334,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
4,261,23.01941251596424,794.0,817.5,148,42,71,3230.8707111217923,501.3712456638471,1160.5913860485446,37.0,4.666666666666667,4.733333333333333,44.175,24.8375,23.625,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
5,281,27.11609985818639,870.5,884.5,170,34,77,3658.5717730964984,525.3311695676235,1400.883800479873,42.5,2.4285714285714284,4.052631578947368,54.98,21.69,22.7,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
6,297,46.98204264870932,953.5,975.5,186,32,79,3997.8639872889753,574.4010543661998,1714.1758642477214,62.0,10.666666666666666,26.333333333333332,66.49166666666666,19.633333333333333,24.933333333333334,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
7,324,52.03621399176954,1064.5,1166.0,211,38,75,4502.741954560834,954.1354006559827,1579.4351385039001,70.33333333333333,3.8,25.0,84.44285714285714,17.835714285714285,25.864285714285714,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
8,354,45.44067796610169,1222.0,1324.0,189,93,72,3866.5482115502914,2467.881985935133,1557.789157984548,63.0,31.0,18.0,97.175,21.49375,26.61875,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
9,392,39.323412698412696,1358.5,1493.5,174,148,70,3354.4551503835373,3738.182253002543,1767.6789715081268,43.5,49.333333333333336,7.777777777777778,105.40555555555555,30.216666666666665,28.066666666666666,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
10,424,60.722877358490564,1607.5,1848.0,123,196,105,2608.125167616884,4796.455062571725,2696.5358902261023,30.75,98.0,26.25,107.96,44.44,32.535,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
0,738,61.5,0.0,0.0,246,246,246,738.0,738.0,738.0,61.5,61.5,61.5,0.0,0.0,0.0,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
1,425,23.562745098039215,407.5,350.5,154,140,131,1129.300227090213,1006.0849704753424,1130.6200211407966,38.5,8.75,21.833333333333332,30.9,31.55,25.25,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
