,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_2_Spice,Tribe_2_Clustering,Tribe_2_Trades,Tribe_3_Nomads,Tribe_3_Spice,Tribe_3_Clustering,Tribe_3_Trades,Tribe_4_Nomads,Tribe_4_Spice,Tribe_4_Clustering,Tribe_4_Trades,Tribe_5_Nomads,Tribe_5_Spice,Tribe_5_Clustering,Tribe_5_Trades,Tribe_6_Nomads,Tribe_6_Spice,Tribe_6_Clustering,Tribe_6_Trades,Tribe_7_Nomads,Tribe_7_Spice,Tribe_7_Clustering,Tribe_7_Trades,Tribe_8_Nomads,Tribe_8_Spice,Tribe_8_Clustering,Tribe_8_Trades,Tribe_9_Nomads,Tribe_9_Spice,Tribe_9_Clustering,Tribe_9_Trades,Tribe_10_Nomads,Tribe_10_Spice,Tribe_10_Clustering,Tribe_10_Trades,Tribe_11_Nomads,Tribe_11_Spice,Tribe_11_Clustering,Tribe_11_Trades,Tribe_12_Nomads,Tribe_12_Spice,Tribe_12_Clustering,Tribe_12_Trades,Tribe_13_Nomads,Tribe_13_Spice,Tribe_13_Clustering,Tribe_13_Trades,Tribe_14_Nomads,Tribe_14_Spice,Tribe_14_Clustering,Tribe_14_Trades,Tribe_15_Nomads,Tribe_15_Spice,Tribe_15_Clustering,Tribe_15_Trades,Tribe_16_Nomads,Tribe_16_Spice,Tribe_16_Clustering,Tribe_16_Trades,Tribe_17_Nomads,Tribe_17_Spice,Tribe_17_Clustering,Tribe_17_Trades,Tribe_18_Nomads,Tribe_18_Spice,Tribe_18_Clustering,Tribe_18_Trades
10,6,1.6666666666666665,0.5,0.0,2,4,2.2111146103943344,6.7308187203611825,1.0,2.0,0.29,0.1,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.12,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,14.0625,0.0,0.0,50,50,150.0,150.0,3.125,25.0,0.0,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,82,4.743110547988597,0.0,0.0,40,42,68.03525251756894,79.2364195731033,5.714285714285714,3.8181818181818183,0.0,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,43,3.6317829457364343,0.0,0.0,19,24,45.81609862817287,54.79474723809598,3.1666666666666665,4.0,0.0,0.525,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,33,3.1904761904761907,0.0,0.0,16,17,44.67540245321386,46.550637419508234,4.0,2.4285714285714284,0.0,0.5333333333333333,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,3.1874999999999996,0.0,0.0,13,11,50.56572327538958,51.16860807541047,4.333333333333333,1.8333333333333333,0.0,0.625,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,2.0,0.0,0.0,10,10,47.22285025038418,64.44822394760456,2.0,2.0,0.0,0.59,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19,2.473684210526316,0.5,1.0,9,10,47.128814167077124,80.45799405272484,3.0,2.0,0.0,0.5833333333333334,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,18,2.2962962962962963,0.5,1.0,8,10,49.247798869330936,96.14763884224577,2.6666666666666665,2.0,0.0,0.5714285714285714,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,2.1333333333333333,0.5,1.0,8,8,53.711770136378206,118.94724494266727,2.6666666666666665,1.6,0.0,0.6125,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,2.2,0.5,1.0,6,8,61.41126103855673,132.4006348960508,3.0,1.6,0.0,0.6055555555555555,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17,2.4823529411764707,0.5,1.0,6,11,66.5680678206186,144.3557602772176,3.0,2.2,0.0,0.65,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.13,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,6.666666666666667,0.0,0.0,50,50,150.0,150.0,5.0,8.333333333333334,0.0,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,78,11.145299145299145,0.5,0.0,44,34,76.79912606877883,52.49639781366675,11.0,11.333333333333334,0.9,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,41,9.3739837398374,0.5,0.0,24,17,50.982023554278584,30.53984280820908,12.0,5.666666666666667,0.475,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,5.153846153846153,0.5,0.0,14,12,46.70829950251962,24.736003259637958,7.0,3.0,0.31666666666666665,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,2.2225,0.5,0.0,11,9,44.497400833106866,20.94994355084184,2.2,2.25,0.2375,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17,3.901960784313726,0.5,0.0,10,7,44.098805738996546,21.062645128635285,5.0,2.3333333333333335,0.19,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,4.25,0.5,0.0,10,6,45.140854494621145,21.68025923765409,5.0,3.0,0.15833333333333333,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15,4.166666666666667,0.5,0.0,10,5,42.18290325024576,24.73634059046701,5.0,2.5,0.1357142857142857,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,3.4230769230769234,0.5,0.0,8,5,42.0928058593492,24.98438924624799,4.0,2.5,0.11875,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13,3.1025641025641026,0.5,0.0,8,5,43.11833634665866,24.232437902028973,4.0,1.6666666666666667,0.10555555555555556,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13,2.282051282051282,0.5,0.0,8,5,43.143866833968126,23.480486557809954,2.6666666666666665,1.6666666666666667,0.095,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.14,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,14.583333333333334,0.0,0.0,50,50,150.0,150.0,16.666666666666668,12.5,0.0,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.15,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,76,6.4772727272727275,0.0,0.0,38,38,69.52648393471598,58.77851875160555,3.4545454545454546,9.5,0.05,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.15,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48,4.1859375,0.0,0.0,27,21,42.52862932123883,25.56816525101977,5.4,2.625,0.025,0.05,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.15,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
