,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_2_Spice,Tribe_2_Clustering,Tribe_2_Trades,Tribe_3_Nomads,Tribe_3_Spice,Tribe_3_Clustering,Tribe_3_Trades
4,127,3.5596645620535825,163.5,73.0,66,61,543.0358142654521,496.90147252736773,3.8823529411764706,3.210526315789474,31.05,23.3875,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
5,121,12.711662075298438,165.5,73.5,64,57,588.7287201968477,497.1663865851075,7.111111111111111,19.0,28.78,21.7,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
6,103,10.605177993527509,176.5,77.5,52,51,672.8513050334317,494.9967690337596,4.333333333333333,17.0,26.875,19.516666666666666,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
7,97,13.001374570446734,181.0,79.0,48,49,708.0910045995178,508.54774802009297,9.6,16.333333333333332,25.821428571428573,17.807142857142857,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
8,94,7.050000000000001,183.0,79.0,47,47,757.5156448049029,504.27362946801054,9.4,4.7,24.99375,17.06875,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
9,89,5.7048332441590865,185.5,79.0,46,43,824.8521789064325,496.8419791660845,6.571428571428571,4.777777777777778,24.2,17.266666666666666,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
10,84,3.7903769841269837,190.0,82.0,47,37,943.7265461469246,434.9670360831821,3.1333333333333333,4.625,23.695,16.675,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
0,510,74.375,0.0,0.0,255,255,765.0,765.0,63.75,85.0,0.0,0.0,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
1,315,24.946825396825396,106.0,51.5,163,152,469.3944880024605,604.3727148270204,40.75,8.0,50.55,38.5,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
2,193,5.089991818925553,137.0,60.0,92,101,362.0183099701568,528.6337584115399,4.842105263157895,5.315789473684211,39.625,36.475,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
