,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_2_Spice,Tribe_2_Clustering,Tribe_2_Trades,Tribe_3_Nomads,Tribe_3_Spice,Tribe_3_Clustering,Tribe_3_Trades,Tribe_4_Nomads,Tribe_4_Spice,Tribe_4_Clustering,Tribe_4_Trades,Tribe_5_Nomads,Tribe_5_Spice,Tribe_5_Clustering,Tribe_5_Trades,Tribe_6_Nomads,Tribe_6_Spice,Tribe_6_Clustering,Tribe_6_Trades,Tribe_7_Nomads,Tribe_7_Spice,Tribe_7_Clustering,Tribe_7_Trades,Tribe_8_Nomads,Tribe_8_Spice,Tribe_8_Clustering,Tribe_8_Trades
1,1550,0.25,0.08828828828828829,0.9117117117117117,514,512,822.4225816066325,827.8729121295164,0.25,0.25,40.45,41.4,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,524.0,813.5249115067076,0.25,33.35,,,,,,,,,,,,,,,,,,,,,,,,
2,786,0.25,0.08620689655172414,0.9137931034482759,254,277,499.50465928150237,449.4346012889036,0.25,0.25,35.775,39.65,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,255.0,455.6378215829265,0.25,33.275,,,,,,,,,,,,,,,,,,,,,,,,
3,531,0.25,0.08140947752126367,0.9185905224787363,170,178,437.0205314316267,333.23162751690575,0.25,0.25,28.266666666666666,32.61666666666667,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,183.0,367.3036635372568,0.25,27.416666666666668,,,,,,,,,,,,,,,,,,,,,,,,
4,410,0.2329268292682927,0.07880133185349611,0.9211986681465039,135,135,427.38152609598563,290.72869628307865,0.25,0.25,23.6,26.9625,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,140.0,338.25114657978264,0.2,23.6125,,,,,,,,,,,,,,,,,,,,,,,,
5,332,0.21600688468158347,0.07388137356919876,0.9261186264308012,106,111,438.3603938691498,284.8979092941381,0.25,0.3333333333333333,20.47,23.19,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,115.0,346.24406109058214,0.07142857142857142,20.35,,,,,,,,,,,,,,,,,,,,,,,,
6,276,0.1842740910246631,0.07012487992315082,0.9298751200768491,86,88,442.5045297559605,287.88698967065693,0.05263157894736842,0.3333333333333333,17.8,20.25,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,102.0,371.61516105896146,0.16666666666666666,17.725,,,,,,,,,,,,,,,,,,,,,,,,
7,247,0.07208726945569051,0.06788990825688074,0.9321100917431193,79,77,483.91086171378805,285.43398856582655,0.05555555555555556,0.08333333333333334,15.592857142857143,17.928571428571427,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,91.0,399.538282245059,0.07692307692307693,16.207142857142856,,,,,,,,,,,,,,,,,,,,,,,,
8,228,0.1330877942720048,0.06684027777777778,0.9331597222222222,73,72,495.514201772891,283.34916271956394,0.05555555555555555,0.07692307692307693,14.1625,16.275,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,83.0,432.7120765717154,0.25,15.1,,,,,,,,,,,,,,,,,,,,,,,,
9,208,0.19380341880341878,0.06316652994257588,0.9368334700574241,68,64,518.8599785365748,290.0480214067927,0.05555555555555555,0.3333333333333333,12.972222222222221,14.88888888888889,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,76.0,461.6134524872169,0.19999999999999998,14.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,
10,192,0.15947940947940947,0.059443190368698266,0.9405568096313017,64,58,546.3189302634335,288.2386080070344,0.07692307692307693,0.3333333333333333,12.035,13.84,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,70.0,495.71024690694935,0.0909090909090909,13.46,,,,,,,,,,,,,,,,,,,,,,,,
