,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_3_Nomads,Tribe_2_Spice,Tribe_3_Spice,Tribe_2_Clustering,Tribe_3_Clustering,Tribe_2_Trades,Tribe_3_Trades,Tribe_4_Nomads,Tribe_5_Nomads,Tribe_4_Spice,Tribe_5_Spice,Tribe_4_Clustering,Tribe_5_Clustering,Tribe_4_Trades,Tribe_5_Trades,Tribe_6_Nomads,Tribe_7_Nomads,Tribe_6_Spice,Tribe_7_Spice,Tribe_6_Clustering,Tribe_7_Clustering,Tribe_6_Trades,Tribe_7_Trades,Tribe_8_Nomads,Tribe_9_Nomads,Tribe_8_Spice,Tribe_9_Spice,Tribe_8_Clustering,Tribe_9_Clustering,Tribe_8_Trades,Tribe_9_Trades
22,488,0.13172613307618128,385.6363636363636,128.52272727272728,236,252,332.61303915916,400.65940026930156,0.058823529411764705,0.19999999999999998,304.02272727272725,325.27272727272725,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,447,0.2,375.1521739130435,127.6086956521739,215,232,327.4741765209273,427.335701407772,0.2,0.19999999999999998,298.5869565217391,321.6304347826087,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,419,0.125,365.0625,126.72916666666667,205,214,314.5376908881135,442.5498295615532,0.125,0.125,293.375,317.2708333333333,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,398,0.2,355.6,126.14,190,208,305.31987455727557,451.7323803281908,0.2,0.2,288.68,313.0,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,368,0.15845410628019324,346.6923076923077,125.65384615384616,172,196,285.0963106046658,456.99931183001996,0.1111111111111111,0.2,284.21153846153845,308.90384615384613,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,346,0.3348472336911643,337.72222222222223,125.24074074074075,160,186,271.23203124346634,451.67862373657624,0.14285714285714285,0.5,279.25925925925924,304.462962962963,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,325,0.33516483516483514,329.0892857142857,124.42857142857143,150,175,258.3526539156419,453.68637861243656,0.14285714285714285,0.5,274.4642857142857,299.67857142857144,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,311,0.3380799265043638,319.6034482758621,123.37931034482759,141,170,259.93268240512964,462.8939185552976,0.14285714285714285,0.5,269.12068965517244,295.0344827586207,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,291,0.10663028097837074,311.03333333333336,121.6,129,162,246.65611308436146,453.2087054196582,0.16666666666666666,0.058823529411764705,263.6666666666667,290.31666666666666,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,278,0.35251798561151076,302.6774193548387,120.03225806451613,123,155,232.75169850046237,437.77838892246706,0.16666666666666666,0.5,258.1774193548387,285.758064516129,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
