,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades
27,240,0.0,137.92592592592592,102,138,35.19139390859587,185.24994822175074,0.018111455226672034,0.0710510959006112,305.8703703703704,332.77777777777777
28,214,0.0,133.07142857142858,82,132,25.545248330786496,171.24330104821462,0.013442760281682741,0.07545983292587108,295.39285714285717,323.48214285714283
29,188,0.0,128.56896551724137,65,123,17.673505281795354,157.34311170717945,0.011184379990726894,0.07703935260627047,285.44827586206895,314.7931034482759
30,159,0.0,124.36666666666666,42,117,11.912182000943263,145.26848824900833,0.006712148669296102,0.0813382791265196,276.06666666666666,306.35
31,138,0.0,120.41935483870968,26,112,8.536193503142892,133.75606901336315,0.003150770256518229,0.08868296766016784,267.241935483871,298.38709677419354
32,129,0.0,116.75,20,109,6.184386821239604,122.19248261028532,0.0020899832801337588,0.08936225653052035,258.921875,290.515625
33,114,0.0,113.28787878787878,14,100,4.43081440045944,111.86602287130188,0.0014619883040935672,0.07780178205415669,251.1060606060606,282.9848484848485
34,108,0.0,109.98529411764706,12,96,3.1084979638845534,102.08368276229356,0.0009259259259259259,0.07200779715527118,243.73529411764707,275.7647058823529
35,97,0.0,106.9,9,88,1.9506354789339317,92.85525325946683,0.0,0.07408962695525666,236.78571428571428,268.74285714285713
36,89,0.0,103.94444444444444,8,81,1.1250994937961472,84.36371436710355,0.0,0.07247078987755813,230.20833333333334,262.0416666666667
37,79,0.0,101.13513513513513,5,74,0.4945048751415642,76.5351198182694,0.0,0.06350347964271999,223.98648648648648,255.66216216216216
38,71,0.0,98.47368421052632,3,68,0.16121339584502214,69.47989701913453,0.0,0.06401879204773324,218.0921052631579,249.42105263157896
39,60,0.0,95.94871794871794,0,60,0.0,63.15747475589305,0.0,0.0638445378151259,212.5,243.44871794871796
40,53,0.0,93.55,0,53,0.0,57.543189068831985,0.0,0.05599847113889881,207.1875,237.7
41,48,0.0,91.26829268292683,0,48,0.0,52.437178029462714,0.0,0.05477809896429029,202.1341463414634,232.109756097561
42,45,0.0,89.0952380952381,0,45,0.0,47.77363161988332,0.0,0.04731726897230379,197.32142857142858,226.77380952380952
43,40,0.0,87.02325581395348,0,40,0.0,43.53676408261646,0.0,0.046534503631961203,192.7325581395349,221.6860465116279
44,38,0.0,85.04545454545455,0,38,0.0,39.59472566056078,0.0,0.046740738708913064,188.35227272727272,216.85227272727272
45,33,0.0,83.15555555555555,0,33,0.0,35.952893263478764,0.0,0.04541798649702209,184.16666666666666,212.22222222222223
46,31,0.0,81.34782608695652,0,31,0.0,32.76845931277207,0.0,0.049364171833055456,180.16304347826087,207.80434782608697
47,27,0.0,79.61702127659575,0,27,0.0,29.877558674195736,0.0,0.04669783338776358,176.32978723404256,203.5212765957447
48,23,0.0,77.95833333333333,0,23,0.0,27.2786569906672,0.0,0.04424153663609213,172.65625,199.36458333333334
